epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12036.6,0.78797,0.4982,0.9641,0.78018,0.70808,0.75204,0.51893,1.05873,0.88557,1.14219,0.000803876,0.000803876,0.000803876
43,12322.7,0.77667,0.49456,0.95996,0.80061,0.70307,0.76213,0.52613,1.05268,0.86966,1.13972,0.000785127,0.000785127,0.000785127
44,12608.9,0.76603,0.48388,0.95397,0.81739,0.69936,0.76659,0.52749,1.06309,0.86015,1.15432,0.000766226,0.000766226,0.000766226
45,12895.4,0.75938,0.47847,0.95255,0.79052,0.69769,0.75939,0.52718,1.04702,0.88754,1.13512,0.000747192,0.000747192,0.000747192
46,13181.5,0.75124,0.46679,0.95123,0.79623,0.69686,0.75702,0.52504,1.06551,0.88913,1.15279,0.000728044,0.000728044,0.000728044
47,13468.2,0.74746,0.47028,0.94827,0.81682,0.70535,0.76504,0.53204,1.04746,0.88502,1.1452,0.0007088,0.0007088,0.0007088
48,13754.7,0.74024,0.46312,0.94449,0.81415,0.70276,0.77212,0.53398,1.05843,0.87259,1.15404,0.00068948,0.00068948,0.00068948
49,14041.4,0.72389,0.44894,0.93884,0.80111,0.69394,0.76655,0.53391,1.05502,0.87916,1.14989,0.000670102,0.000670102,0.000670102
50,14327.4,0.72337,0.44734,0.93823,0.83347,0.69626,0.77218,0.53847,1.05652,0.8695,1.15121,0.000650685,0.000650685,0.000650685
51,14613.4,0.7093,0.44097,0.93436,0.82881,0.70394,0.77461,0.53938,1.05786,0.87221,1.15736,0.00063125,0.00063125,0.00063125
52,14898.7,0.70352,0.4326,0.93222,0.81626,0.6895,0.76941,0.53715,1.05412,0.88101,1.14951,0.000611815,0.000611815,0.000611815
53,15184.7,0.70125,0.4332,0.92819,0.81802,0.70721,0.77151,0.53629,1.06499,0.88105,1.15695,0.000592398,0.000592398,0.000592398
54,15470.5,0.69038,0.41812,0.92121,0.83822,0.69134,0.76603,0.53511,1.05859,0.87773,1.15195,0.00057302,0.00057302,0.00057302
55,15757,0.68605,0.42141,0.92022,0.82192,0.70559,0.77143,0.53783,1.04502,0.85279,1.15004,0.0005537,0.0005537,0.0005537
56,16043.4,0.68033,0.41749,0.9219,0.81,0.71113,0.76992,0.53859,1.05809,0.88098,1.14808,0.000534456,0.000534456,0.000534456
57,16329.5,0.66866,0.40438,0.91683,0.82528,0.69288,0.77256,0.53746,1.06252,0.8752,1.1605,0.000515308,0.000515308,0.000515308
58,16616.1,0.66662,0.4007,0.91504,0.79405,0.71212,0.7642,0.5356,1.0567,0.88383,1.15802,0.000496274,0.000496274,0.000496274
59,16902.3,0.66298,0.39944,0.91129,0.77273,0.73598,0.77018,0.5462,1.06032,0.88414,1.16944,0.000477373,0.000477373,0.000477373
